id,type,frame,magnitude,map,path
,,,,,
# nom_wurm,ship,,,material,graphics/nom/ships/shaders/nom_wurm_material.png
nom_wurm,ship,,1,normal,graphics/nom/ships/shaders/nom_wurm_normal.png
# nom_wurm,ship,,,surface,graphics/nom/ships/shaders/nom_wurm_surface.png
# ,,,,,
# chaingun,turret,0,,material,graphics/shaders/material/weapons/rotary/rotary_cannon_turret_base00_material.png
# chaingun,turret,1,,material,graphics/shaders/material/weapons/rotary/rotary_cannon_turret_base01_material.png
# chaingun,turret,2,,material,graphics/shaders/material/weapons/rotary/rotary_cannon_turret_base02_material.png
# chaingun,turret,3,,material,graphics/shaders/material/weapons/rotary/rotary_cannon_turret_base03_material.png
# chaingun,hardpoint,0,,material,graphics/shaders/material/weapons/rotary/rotary_cannon_hardpoint_base00_material.png
# chaingun,hardpoint,1,,material,graphics/shaders/material/weapons/rotary/rotary_cannon_hardpoint_base01_material.png
# chaingun,hardpoint,2,,material,graphics/shaders/material/weapons/rotary/rotary_cannon_hardpoint_base02_material.png
# chaingun,hardpoint,3,,material,graphics/shaders/material/weapons/rotary/rotary_cannon_hardpoint_base03_material.png
# chaingun,turret,0,1,normal,graphics/shaders/normal/weapons/rotary/rotary_cannon_turret_base00_normal.png
# chaingun,turret,1,1,normal,graphics/shaders/normal/weapons/rotary/rotary_cannon_turret_base01_normal.png
# chaingun,turret,2,1,normal,graphics/shaders/normal/weapons/rotary/rotary_cannon_turret_base02_normal.png
# chaingun,turret,3,1,normal,graphics/shaders/normal/weapons/rotary/rotary_cannon_turret_base03_normal.png
# chaingun,hardpoint,0,1,normal,graphics/shaders/normal/weapons/rotary/rotary_cannon_hardpoint_base00_normal.png
# chaingun,hardpoint,1,1,normal,graphics/shaders/normal/weapons/rotary/rotary_cannon_hardpoint_base01_normal.png
# chaingun,hardpoint,2,1,normal,graphics/shaders/normal/weapons/rotary/rotary_cannon_hardpoint_base02_normal.png
# chaingun,hardpoint,3,1,normal,graphics/shaders/normal/weapons/rotary/rotary_cannon_hardpoint_base03_normal.png
# chaingun,turret,0,,surface,graphics/shaders/surface/weapons/rotary/rotary_cannon_turret_base00_surface.png
# chaingun,turret,1,,surface,graphics/shaders/surface/weapons/rotary/rotary_cannon_turret_base01_surface.png
# chaingun,turret,2,,surface,graphics/shaders/surface/weapons/rotary/rotary_cannon_turret_base02_surface.png
# chaingun,turret,3,,surface,graphics/shaders/surface/weapons/rotary/rotary_cannon_turret_base03_surface.png
# chaingun,hardpoint,0,,surface,graphics/shaders/surface/weapons/rotary/rotary_cannon_hardpoint_base00_surface.png
# chaingun,hardpoint,1,,surface,graphics/shaders/surface/weapons/rotary/rotary_cannon_hardpoint_base01_surface.png
# chaingun,hardpoint,2,,surface,graphics/shaders/surface/weapons/rotary/rotary_cannon_hardpoint_base02_surface.png
# chaingun,hardpoint,3,,surface,graphics/shaders/surface/weapons/rotary/rotary_cannon_hardpoint_base03_surface.png
# ,,,,,
# mjolnir,turret,,,material,graphics/shaders/material/weapons/mjolnir_turret_base_material.png
# mjolnir,turretbarrel,,,material,graphics/shaders/material/weapons/mjolnir_turret_recoil_material.png
# mjolnir,turretunder,,,material,graphics/shaders/material/weapons/mjolnir_turret_under_material.png
# mjolnir,hardpoint,,,material,graphics/shaders/material/weapons/mjolnir_hardpoint_base_material.png
# mjolnir,hardpointbarrel,,,material,graphics/shaders/material/weapons/mjolnir_hardpoint_recoil_material.png
# mjolnir,hardpointunder,,,material,graphics/shaders/material/weapons/mjolnir_hardpoint_under_material.png
# mjolnir,turret,,1,normal,graphics/shaders/normal/weapons/mjolnir_turret_base_normal.png
# mjolnir,turretbarrel,,1,normal,graphics/shaders/normal/weapons/mjolnir_turret_recoil_normal.png
# mjolnir,turretunder,,1,normal,graphics/shaders/normal/weapons/mjolnir_turret_under_normal.png
# mjolnir,hardpoint,,1,normal,graphics/shaders/normal/weapons/mjolnir_hardpoint_base_normal.png
# mjolnir,hardpointbarrel,,1,normal,graphics/shaders/normal/weapons/mjolnir_hardpoint_recoil_normal.png
# mjolnir,hardpointunder,,1,normal,graphics/shaders/normal/weapons/mjolnir_hardpoint_under_normal.png
# mjolnir,turret,,,surface,graphics/shaders/surface/weapons/mjolnir_turret_base_surface.png
# mjolnir,turretbarrel,,,surface,graphics/shaders/surface/weapons/mjolnir_turret_recoil_surface.png
# mjolnir,turretunder,,,surface,graphics/shaders/surface/weapons/mjolnir_turret_under_surface.png
# mjolnir,hardpoint,,,surface,graphics/shaders/surface/weapons/mjolnir_hardpoint_base_surface.png
# mjolnir,hardpointbarrel,,,surface,graphics/shaders/surface/weapons/mjolnir_hardpoint_recoil_surface.png
# mjolnir,hardpointunder,,,surface,graphics/shaders/surface/weapons/mjolnir_hardpoint_under_surface.png
# ,,,,,
# annihilator_rocket,missile,,,material,graphics/shaders/material/missiles/missile_annihilator_material.png
# annihilator_rocket,missile,,1,normal,graphics/shaders/normal/missiles/missile_annihilator_normal.png
# annihilator_rocket,missile,,,surface,graphics/shaders/surface/missiles/missile_annihilator_surface.png
